core,instance,mode,time,core_value,vir_mem_value,phy_mem_value,data_net_bytes_total,
"0,0",localhost:9182,idle,1704716354,3.30754868,6300884992,1190080512,461.5230728,TRUE
"0,1",localhost:9182,idle,1704716354,0.598492931,6300884992,1190080512,461.5230728,FALSE
"0,2",localhost:9182,idle,1704716354,3.411743132,6300884992,1190080512,461.5230728,TRUE
"0,3",localhost:9182,idle,1704716354,0.598492931,6300884992,1190080512,461.5230728,FALSE
"0,4",localhost:9182,idle,1704716354,2.578187517,6300884992,1190080512,461.5230728,TRUE
"0,5",localhost:9182,idle,1704716354,2.369798613,6300884992,1190080512,461.5230728,TRUE
"0,6",localhost:9182,idle,1704716354,2.78657642,6300884992,1190080512,461.5230728,TRUE
"0,7",localhost:9182,idle,1704716354,2.682381969,6300884992,1190080512,461.5230728,TRUE
"0,0",localhost:9182,idle,1704716417,1.829186954,6384123904,1295831040,2571.800173,TRUE
"0,1",localhost:9182,idle,1704716417,1.099679851,6384123904,1295831040,2571.800173,FALSE
"0,2",localhost:9182,idle,1704716417,2.141832855,6384123904,1295831040,2571.800173,TRUE
"0,3",localhost:9182,idle,1704716417,0.578603348,6384123904,1295831040,2571.800173,FALSE
"0,4",localhost:9182,idle,1704716417,1.724971653,6384123904,1295831040,2571.800173,TRUE
"0,5",localhost:9182,idle,1704716417,0.474388048,6384123904,1295831040,2571.800173,FALSE
"0,6",localhost:9182,idle,1704716417,1.724971653,6384123904,1295831040,2571.800173,TRUE
"0,7",localhost:9182,idle,1704716417,0.370172747,6384123904,1295831040,2571.800173,FALSE
"0,0",localhost:9182,idle,1704716479,0.664734106,6418120704,1177374720,910.3691857,FALSE
"0,1",localhost:9182,idle,1704716479,0.56060909,6418120704,1177374720,910.3691857,FALSE
"0,2",localhost:9182,idle,1704716479,3.788484606,6418120704,1177374720,910.3691857,TRUE
"0,3",localhost:9182,idle,1704716479,0.144109023,6418120704,1177374720,910.3691857,FALSE
"0,4",localhost:9182,idle,1704716479,1.081234173,6418120704,1177374720,910.3691857,FALSE
"0,5",localhost:9182,idle,1704716479,0.352359056,6418120704,1177374720,910.3691857,FALSE
"0,6",localhost:9182,idle,1704716479,1.081234173,6418120704,1177374720,910.3691857,FALSE
"0,7",localhost:9182,idle,1704716479,1.393609223,6418120704,1177374720,910.3691857,TRUE
"0,0",localhost:9182,idle,1704716541,3.937420902,6390059008,1104064512,2165.789649,TRUE
"0,1",localhost:9182,idle,1704716541,0.606973956,6390059008,1104064512,2165.789649,FALSE
"0,2",localhost:9182,idle,1704716541,3.625191501,6390059008,1104064512,2165.789649,TRUE
"0,3",localhost:9182,idle,1704716541,0.711050423,6390059008,1104064512,2165.789649,FALSE
"0,4",localhost:9182,idle,1704716541,2.688503297,6390059008,1104064512,2165.789649,TRUE
"0,5",localhost:9182,idle,1704716541,1.439585692,6390059008,1104064512,2165.789649,TRUE
"0,6",localhost:9182,idle,1704716541,1.855891561,6390059008,1104064512,2165.789649,TRUE
"0,7",localhost:9182,idle,1704716541,1.127356291,6390059008,1104064512,2165.789649,FALSE
"0,0",localhost:9182,idle,1704719158,4.100859656,6106816512,733384704,5396.041583,FALSE
"0,1",localhost:9182,idle,1704719158,1.705984273,6106816512,733384704,5396.041583,FALSE
"0,2",localhost:9182,idle,1704719158,4.725609756,6106816512,733384704,5396.041583,FALSE
